identifier,pref_label,alternate_label,hidden_label,exact_match,close_match,scope_note
http://library.ucsd.edu/ark:/20775/bb4406466p,Plant containers,,,http://id.worldcat.org/fast/1065363|http://vocab.getty.edu/aat/300237566,,topic
http://library.ucsd.edu/ark:/20775/bb2632971c,"Otoliths, Fossil",,,http://id.loc.gov/authorities/subjects/sh98000236,,topic
http://library.ucsd.edu/ark:/20775/bb3145342z,Cnidaria,,,http://id.loc.gov/authorities/subjects/sh98001754,,topic
http://library.ucsd.edu/ark:/20775/bb69337139,Open source software,,,http://id.loc.gov/authorities/subjects/sh99003437,,topic
http://library.ucsd.edu/ark:/20775/bb3517646f,Adobe brick,,,http://id.worldcat.org/fast/0796975,,topic
http://library.ucsd.edu/ark:/20775/bb09237661,Adobe churches,,,http://id.worldcat.org/fast/0796976,,topic
http://library.ucsd.edu/ark:/20775/bb02423335,Pride and vanity,,,http://id.worldcat.org/fast/1076249,,topic
http://library.ucsd.edu/ark:/20775/bb0242608n,Indoor swimming pools,,,http://vocab.getty.edu/aat/300251221,,topic
http://library.ucsd.edu/ark:/20775/bb0242721f,"""Pozole""@es",caldo,,https://www.wikidata.org/wiki/Q515692,https://en.wikipedia.org/wiki/Pozole,topic
http://library.ucsd.edu/ark:/20775/bb0242965b,Conservatories,,,http://id.worldcat.org/fast/875622,,topic
http://library.ucsd.edu/ark:/20775/bb0242967c,Monologues with music (Musique concrète),,,,,topic
http://library.ucsd.edu/ark:/20775/bb0242968w,Parables,,,http://id.worldcat.org/fast/1052768,,topic
http://library.ucsd.edu/ark:/20775/bb02429707,Toilets,,,http://id.worldcat.org/fast/1152153,,topic
http://library.ucsd.edu/ark:/20775/bb0243554z,Sacred music,,,http://id.worldcat.org/fast/1103131,,topic
http://library.ucsd.edu/ark:/20775/bb0277096g,"Quartets (Flutes (2), percussion)",,,http://id.worldcat.org/fast/1190331,,topic
http://library.ucsd.edu/ark:/20775/bb0277180b,Balls (Parties),,,,,topic
http://library.ucsd.edu/ark:/20775/bb0277662n,Devices (Heraldry),,,,,topic
http://library.ucsd.edu/ark:/20775/bb02777597,Left ventricle (LV),,,,,topic
http://library.ucsd.edu/ark:/20775/bb0278028j,FLEXPART,,,,,topic
http://library.ucsd.edu/ark:/20775/bb02783789,Molar tooth,,,https://www.wikidata.org/wiki/Q189218,,topic
http://library.ucsd.edu/ark:/20775/bb0412274q,Pumping stations,,,http://id.worldcat.org/fast/1084018,,topic
http://library.ucsd.edu/ark:/20775/bb0412353p,Pharmaceutical industry--Research,,,http://id.worldcat.org/fast/1060172,,topic
http://library.ucsd.edu/ark:/20775/bb0412467p,Heterogeneous chemistry,,,,,topic
http://library.ucsd.edu/ark:/20775/bb04124822,Lettuce,,,,,topic
http://library.ucsd.edu/ark:/20775/bb04125255,Worship,,,http://id.worldcat.org/fast/1181450,,topic
http://library.ucsd.edu/ark:/20775/bb0412861c,Role models,,,http://id.worldcat.org/fast/1099622,,topic
http://library.ucsd.edu/ark:/20775/bb04136120,Assemblage (Art),,,http://id.worldcat.org/fast/818997,,topic
http://library.ucsd.edu/ark:/20775/bb0548906g,Observatories,,,http://id.worldcat.org/fast/1042952,,topic
http://library.ucsd.edu/ark:/20775/bb05493820,Grains,,,http://id.worldcat.org/fast/945891,,topic
http://library.ucsd.edu/ark:/20775/bb0549383h,Stone houses,,,http://id.worldcat.org/fast/1133858,,topic
http://library.ucsd.edu/ark:/20775/bb0550135w,Bridal bouquets,,,http://id.worldcat.org/fast/838632,,topic
http://library.ucsd.edu/ark:/20775/bd0124990g,cellular macromolecule localization,,,http://purl.obolibrary.org/obo/GO:0070727|https://www.wikidata.org/wiki/Q22290869,,topic
http://library.ucsd.edu/ark:/20775/bd0124992h,intermediate filament cytoskeleton organization,,,http://purl.obolibrary.org/obo/GO:0045104|https://www.wikidata.org/wiki/Q14864161,,topic
http://library.ucsd.edu/ark:/20775/bd01249952,oral/aboral axis specification,,,http://purl.obolibrary.org/obo/GO:0060834|https://www.wikidata.org/wiki/Q22299111,,topic
http://library.ucsd.edu/ark:/20775/bd0124996k,post-Golgi vesicle-mediated transport,,,http://purl.obolibrary.org/obo/GO:0006892|https://www.wikidata.org/wiki/Q14888944,,topic
http://library.ucsd.edu/ark:/20775/bd0124998m,tyrosine phosphorylation,,,https://www.wikidata.org/wiki/Q7861690,,topic
http://library.ucsd.edu/ark:/20775/bd0159117v,actin binding,,,http://purl.obolibrary.org/obo/GO:0003779|https://www.wikidata.org/wiki/Q14863962,,topic
http://library.ucsd.edu/ark:/20775/bd0159120q,conjugation with cellular fusion,,,http://purl.obolibrary.org/obo/GO:0000747|https://www.wikidata.org/wiki/Q22271535,,topic
http://library.ucsd.edu/ark:/20775/bd0159122r,mediolateral convergence,,,,,topic
http://library.ucsd.edu/ark:/20775/bd0159124s,regulation of gene expression,,,http://purl.obolibrary.org/obo/GO:0010468|https://www.wikidata.org/wiki/Q411391,,topic
